Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
31.021103,0.5162785,34.13613346922735,-83.81784332122061,0.3488621,0,5752.3887,-0.55818784,1,1,false,false,-6.301195,-9.353861,7.929599,2.169352,-0.2544817,3
30.861746,0.5164054,34.13613328874427,-83.81784885125624,0.3234838,0,5732.358,-0.6031668,1,1,false,false,-6.7931943,-9.176247,8.050598,2.1649446,-0.27372763,3
30.707512,0.51653165,34.136133108261184,-83.81785438125051,0.2995353,0,5716.585,-0.64243305,1,1,false,false,-7.3787937,-8.784457,8.117547,2.1602027,-0.2940685,3
30.561443,0.5166572,34.13613292777811,-83.81785991128615,0.28869295,0,5702.696,-0.6812216,1,1,false,false,-7.8886414,-8.198106,8.049094,2.1551216,-0.31455097,3
30.421452,0.5167822,34.13613274729502,-83.81786544128043,0.26426786,0,5687.689,-0.71834385,1,1,false,false,-8.300092,-7.9920945,7.9136524,2.149688,-0.33600232,3
30.290922,0.5169066,34.13613265705349,-83.81787097131607,0.24162994,0,5668.0747,-0.7507059,1,1,false,false,-8.554277,-7.0965805,7.2589245,2.1438658,-0.3608583,3
30.172956,0.5170306,34.13613256791245,-83.81787639289692,0.23126417,0,5641.377,-0.78235394,1,1,false,false,-8.708712,-6.6696954,7.1470547,2.1376355,-0.38494667,3
30.058401,0.5171541,34.13613247767091,-83.81788181447779,0.20981774,0,5607.1562,-0.80995625,1,1,false,false,-9.027425,-6.430271,7.1320715,2.1309993,-0.4084394,3
29.947767,0.5172771,34.13613247767091,-83.81788723605864,0.1883713,0,5569.9785,-0.83398914,1,1,false,false,-9.82149,-6.186179,7.691375,2.1240058,-0.42954683,3
29.842821,0.5173996,34.13613238742937,-83.8178926576395,0.18193735,0,5537.204,-0.8573069,1,1,false,false,-10.782312,-5.749181,8.299537,2.1166162,-0.45632538,3
29.739977,0.5175216,34.13613238742937,-83.81789807922036,0.16740137,0,5514.34,-0.878006,1,1,false,false,-12.09693,-5.795569,9.074076,2.1087587,-0.48523474,3
29.640177,0.5176432,34.13613247767091,-83.81790339234644,0.14964849,0,5502.0366,-0.893711,1,1,false,false,-13.459237,-5.448765,9.761025,2.1003714,-0.52300113,3
29.542591,0.5177644,34.13613247767091,-83.81790870551387,0.13737634,0,5493.0693,-0.9044171,1,1,false,false,-14.803186,-5.343035,10.444255,2.0912738,-0.57000506,3
29.448917,0.5178851,34.13613256791245,-83.81791401863995,0.13094248,0,5485.7197,-0.90655863,1,1,false,false,-15.168103,-5.054421,10.320702,2.081408,-0.6154615,3
29.354946,0.51800543,34.13613274729502,-83.81791933180739,0.116644844,0,5482.217,-0.9032277,1,1,false,false,-16.225714,-5.1368146,10.924945,2.0709078,-0.64564556,3
29.261675,0.5181253,34.13613292777811,-83.81792464493347,0.10949602,0,5487.181,-0.89680433,1,1,false,false,-17.484251,-4.854362,11.367818,2.0600939,-0.6539676,3
29.168968,0.51824474,34.136133108261184,-83.8179299581009,0.10580247,0,5502.6787,-0.8922827,1,1,false,false,-18.542547,-4.8844085,11.928548,2.04928,-0.64733666,3
29.077267,0.51836383,34.13613337898581,-83.81793516281357,0.091981396,0,5523.2446,-0.8906174,1,1,false,false,-19.228516,-4.6553946,12.095689,2.0386956,-0.62489635,3
28.991728,0.51848257,34.13613373885146,-83.81794036752622,0.084594294,0,5541.4565,-0.8901413,1,1,false,false,-19.305094,-4.2465963,11.674259,2.0285785,-0.5936407,3
28.911636,0.5186009,34.13613400957609,-83.81794568069367,0.075181715,0,5549.6943,-0.89180684,1,1,false,false,-18.862137,-3.8913615,11.242361,2.0189137,-0.5715073,3
28.839687,0.51871884,34.13613446078379,-83.81795077695155,0.07053495,0,5543.1196,-0.89632726,1,1,false,false,-18.174494,-3.3834722,10.233368,2.0095398,-0.5564711,3
28.776215,0.5188365,34.13613491089099,-83.81795598170557,0.06136065,0,5522.5415,-0.9044172,1,1,false,false,-17.158289,-2.9279392,9.333364,2.0004191,-0.5382483,3
28.720861,0.51895386,34.13613536209869,-83.81796118641823,0.054450125,0,5491.34,-0.914886,1,1,false,false,-15.759209,-2.529667,8.439851,1.9916817,-0.5086042,3
28.66931,0.5190711,34.13613590354794,-83.81796628267611,0.05302038,0,5457.6,-0.9301138,1,1,false,false,-14.092414,-2.4190228,7.7922406,1.9834738,-0.475263,3
28.615883,0.5191878,34.136136443896675,-83.81797148738876,0.05397354,0,5427.5796,-0.95461917,1,1,false,false,-13.868655,-2.811192,8.198228,1.9757823,-0.44583547,3
28.556303,0.51930416,34.136136985345914,-83.81797658368801,0.052305482,0,5407.1304,-0.98745185,1,1,false,false,-13.752302,-3.0074131,8.272754,1.9684939,-0.42597178,3
28.496231,0.5194202,34.13613761593619,-83.81798167998726,0.053496953,0,5397.2363,-1.0259943,1,1,false,false,-13.104295,-2.9766612,7.818012,1.9614617,-0.4145456,3
28.436527,0.51953596,34.13613824652647,-83.81798677624514,0.053973544,0,5395.7114,-1.0704819,1,1,false,false,-12.638099,-3.1254954,7.539978,1.954543,-0.41404924,3
28.373806,0.5196514,34.136138968458795,-83.81799176413095,0.050756574,0,5397.833,-1.1163962,1,1,false,false,-12.601891,-3.3231394,7.4851136,1.947479,-0.43415862,3
28.31161,0.5197666,34.136139689290616,-83.81799686038883,0.050279997,0,5397.769,-1.1580276,1,1,false,false,-12.599639,-3.128489,7.7894816,1.9399455,-0.4671789,3
28.252005,0.5198815,34.13614041122294,-83.81800184827466,0.053020366,0,5391.998,-1.1968024,1,1,false,false,-13.353879,-3.0913064,8.368423,1.9318968,-0.49559888,3
28.193314,0.5199958,34.13614113205476,-83.81800694453254,0.05552247,0,5380.7393,-1.2272514,1,1,false,false,-13.835284,-2.9256885,8.387403,1.9234505,-0.514625,3
